Player_Names,Matches_Played
Luis Suarez,22
Karim Benzema,36
Joselu,31
Carlos Fernandez,21
Ante Budimir,33
Mikel Oyarzabal,36
Willian Jose,24
Gerard Moreno,33
Lucas Perez,29
Loren Moron,21
Raul Garcla,33
Morata ,25
Angel Rodriguez,9
Lionel Messi,32
Sergio Ramos,35
Lucas Ocampos,31
Cazorla ,29
Roger ,26
Jaime Mata,33
Iago Aspas,37
Dominic Calvert-Lewin,30
Raul Jimenez,37
Kevin De Bruyne,32
Jamie Vardy,34
Raheem Sterling,30
Sadio Mane,31
Chris Wood,29
Anthony Martial,31
Riyad Mahrez,21
Son Heung-Min,28
Marcus Rashford,31
Mohamed Salah,33
Gabriel Jesus,21
Danny Ings,32
Pierre-Emerick Aubameyang,35
Harry Kane,29
Richarlison  ,36
Teemu Pukki,33
Tammy Abraham,25
Sergio Aguero,18
