League,Player_Names,Goals,Shots
La Liga,Luis Suarez,16,79
La Liga,Karim Benzema,21,124
La Liga,Joselu,11,87
La Liga,Carlos Fernandez,10,47
La Liga,Ante Budimir,13,56
La Liga,Mikel Oyarzabal,10,62
La Liga,Willian Jose,11,59
La Liga,Gerard Moreno,18,89
La Liga,Lucas Perez,11,48
La Liga,Loren Moron,10,52
La Liga,Raul Garcla,15,81
La Liga,Morata ,12,69
La Liga,Angel Rodriguez,10,53
La Liga,Lionel Messi,25,159
La Liga,Sergio Ramos,11,39
La Liga,Lucas Ocampos,14,84
La Liga,Cazorla ,11,49
La Liga,Roger ,11,57
La Liga,Jaime Mata,11,58
La Liga,Iago Aspas,14,84
Premier League,Dominic Calvert-Lewin,13,85
Premier League,Raul Jimenez,17,118
Premier League,Kevin De Bruyne,13,99
Premier League,Jamie Vardy,23,89
Premier League,Raheem Sterling,20,99
Premier League,Sadio Mane,18,77
Premier League,Chris Wood,14,65
Premier League,Anthony Martial,17,80
Premier League,Riyad Mahrez,11,74
Premier League,Son Heung-Min,11,81
Premier League,Marcus Rashford,17,95
Premier League,Mohamed Salah,19,132
Premier League,Gabriel Jesus,14,101
Premier League,Danny Ings,22,93
Premier League,Pierre-Emerick Aubameyang,22,93
Premier League,Harry Kane,18,81
Premier League,Richarlison  ,13,90
Premier League,Teemu Pukki,11,80
Premier League,Tammy Abraham,15,88
Premier League,Sergio Aguero,16,76
